average-price,timestamp
45480,2022-04-01T13:25:00Z
45505.1953065369,2022-04-01T13:26:00Z
45492.1255144122,2022-04-01T13:27:00Z
45479.8716392021,2022-04-01T13:27:00Z
45439.8022613288,2022-04-01T13:28:00Z
45450.7585669782,2022-04-01T13:28:00Z
45421.3104295012,2022-04-01T13:29:00Z
45445.0967907018,2022-04-01T13:30:00Z
45423.3888888889,2022-04-01T13:30:00Z
45479.4221463818,2022-04-01T13:31:00Z
45480,2022-04-01T13:31:00Z
45504,2022-04-01T13:31:00Z
45511.105348357,2022-04-01T13:32:00Z
45500,2022-04-01T13:32:00Z
45531,2022-04-01T13:32:00Z
45541.1024528993,2022-04-01T13:33:00Z
45551.0012093726,2022-04-01T13:33:00Z
45543.2189530909,2022-04-01T13:34:00Z
45496.8942291625,2022-04-01T13:35:00Z
45536.706230751,2022-04-01T13:35:00Z
45541.5389387675,2022-04-01T13:36:00Z
45528,2022-04-01T13:36:00Z
45573.2182745418,2022-04-01T13:37:00Z
45578.1428571429,2022-04-01T13:37:00Z
45603.4297015112,2022-04-01T13:38:00Z
45599.9473919745,2022-04-01T13:38:00Z
45571.6359953698,2022-04-01T13:39:00Z
45597.8689956332,2022-04-01T13:39:00Z
45551.7910519514,2022-04-01T13:40:00Z
45564,2022-04-01T13:40:00Z
45567.9844843585,2022-04-01T13:41:00Z
45560.3,2022-04-01T13:41:00Z
45557.1315217391,2022-04-01T13:41:00Z
45582.5767656056,2022-04-01T13:42:00Z
45573.1933364389,2022-04-01T13:43:00Z
45593.7470588235,2022-04-01T13:43:00Z
45532.6534737464,2022-04-01T13:44:00Z
45520.594795539,2022-04-01T13:44:00Z
45550.3225664944,2022-04-01T13:45:00Z
45570.3857421,2022-04-01T13:45:00Z
45521,2022-04-01T13:45:00Z
45532.6500289179,2022-04-01T13:46:00Z
45533.9000857633,2022-04-01T13:46:00Z
45512.8447326791,2022-04-01T13:47:00Z
45570.9315733527,2022-04-01T13:48:00Z
45560.7501371276,2022-04-01T13:49:00Z
45560.6478873239,2022-04-01T13:49:00Z
45494.7637995928,2022-04-01T13:50:00Z
45502.3927392739,2022-04-01T13:50:00Z
45414.6688348541,2022-04-01T13:51:00Z
45446.9670746446,2022-04-01T13:51:00Z
45439.2256533801,2022-04-01T13:51:00Z
45346.6838852847,2022-04-01T13:52:00Z
45362.4608465608,2022-04-01T13:52:00Z
45366.2482368668,2022-04-01T13:53:00Z
45332,2022-04-01T13:53:00Z
45407.5274868714,2022-04-01T13:54:00Z
45382.41747,2022-04-01T13:54:00Z
45404.580070392,2022-04-01T13:55:00Z
45428.978456776,2022-04-01T13:56:00Z
45421,2022-04-01T13:56:00Z
45422,2022-04-01T13:56:00Z
45411.5402325959,2022-04-01T13:57:00Z
45437,2022-04-01T13:57:00Z
45434.6705032724,2022-04-01T13:57:00Z
45449.6644125998,2022-04-01T13:58:00Z
45435.5,2022-04-01T13:58:00Z
45461.5010492689,2022-04-01T13:59:00Z
45446,2022-04-01T13:59:00Z
45477.6899098283,2022-04-01T14:00:00Z
45470.5824002,2022-04-01T14:00:00Z
45431.2,2022-04-01T14:00:00Z
45493.1150524976,2022-04-01T14:01:00Z
45499.956043956,2022-04-01T14:01:00Z
45493.5744465407,2022-04-01T14:02:00Z
45494.1458364591,2022-04-01T14:02:00Z
45513.3442555971,2022-04-01T14:03:00Z
45501.839543985,2022-04-01T14:03:00Z
45500.4814131152,2022-04-01T14:04:00Z
45517,2022-04-01T14:04:00Z
45484.0944231337,2022-04-01T14:04:00Z
45538.4140559018,2022-04-01T14:05:00Z
45522.0794130725,2022-04-01T14:05:00Z
45574.1619172685,2022-04-01T14:05:00Z
45562.8170900483,2022-04-01T14:06:00Z
45587.2566034351,2022-04-01T14:06:00Z
45546.1685974858,2022-04-01T14:06:00Z
45610.2462378577,2022-04-01T14:07:00Z
45572.7,2022-04-01T14:07:00Z
45585.1237165039,2022-04-01T14:07:00Z
45562.3747845107,2022-04-01T14:08:00Z
45553,2022-04-01T14:08:00Z
45547.7885360186,2022-04-01T14:08:00Z
45568.1920170296,2022-04-01T14:09:00Z
45549.9539815349,2022-04-01T14:09:00Z
45632.9405872952,2022-04-01T14:10:00Z
45598.2382133995,2022-04-01T14:10:00Z
45681.6222569647,2022-04-01T14:10:00Z
45657.1182637041,2022-04-01T14:11:00Z
45654.4810035593,2022-04-01T14:12:00Z
45684.7901144927,2022-04-01T14:13:00Z
45704.6701030928,2022-04-01T14:13:00Z
45724.7897265651,2022-04-01T14:14:00Z
45714.6276084949,2022-04-01T14:14:00Z
45737.15,2022-04-01T14:14:00Z
45701.2498698,2022-04-01T14:15:00Z
45685,2022-04-01T14:15:00Z
45711,2022-04-01T14:15:00Z
45663.8407110248,2022-04-01T14:16:00Z
45641,2022-04-01T14:16:00Z
45667.4396553228,2022-04-01T14:17:00Z
45668.9,2022-04-01T14:17:00Z
45652,2022-04-01T14:17:00Z
45646.361214648,2022-04-01T14:18:00Z
45619.850999232,2022-04-01T14:19:00Z
45615,2022-04-01T14:19:00Z
45640,2022-04-01T14:19:00Z
45612.7253731648,2022-04-01T14:20:00Z
45615,2022-04-01T14:20:00Z
45600,2022-04-01T14:20:00Z
45590.2243119353,2022-04-01T14:21:00Z
45590,2022-04-01T14:21:00Z
45606.1814079365,2022-04-01T14:22:00Z
45600.3330044401,2022-04-01T14:22:00Z
45603.222690559,2022-04-01T14:23:00Z
45594.7918082057,2022-04-01T14:24:00Z
45583.9960397307,2022-04-01T14:25:00Z
45590.6181749997,2022-04-01T14:26:00Z
45587,2022-04-01T14:26:00Z
45597.4172539821,2022-04-01T14:27:00Z
45645.1025969325,2022-04-01T14:28:00Z
45624.1313361143,2022-04-01T14:28:00Z
45651.986605295,2022-04-01T14:29:00Z
45642,2022-04-01T14:29:00Z
45676.6733456743,2022-04-01T14:30:00Z
45706,2022-04-01T14:30:00Z
45655.0625,2022-04-01T14:30:00Z
